scenario,level,xml,attempts,success,score,stars,time
0 - tutoriel,[fr]tutoriel[/fr][en]tutorial[/en],levels/tutoriel/tutoriel.xml,,,,,
1 - explorateur,[fr]niveau01[/fr][en]level01[/en],levels/explorateur/niveau01.xml,,,,,
1 - explorateur,[fr]niveau02[/fr][en]level02[/en],levels/explorateur/niveau02.xml,,,,,
1 - explorateur,[fr]niveau03[/fr][en]level03[/en],levels/explorateur/niveau03.xml,,,,,
1 - explorateur,[fr]niveau04[/fr][en]level04[/en],levels/explorateur/niveau04.xml,,,,,
1 - explorateur,[fr]niveau05[/fr][en]level05[/en],levels/explorateur/niveau05.xml,,,,,
1 - explorateur,[fr]niveau06[/fr][en]level06[/en],levels/tutoriel/ouvrirporte.xml,,,,,
1 - explorateur,[fr]niveau07[/fr][en]level07[/en],levels/explorateur/niveau06.xml,,,,,
1 - explorateur,[fr]niveau08[/fr][en]level08[/en],levels/explorateur/niveau07.xml,,,,,
1 - explorateur,[fr]niveau09[/fr][en]level09[/en],levels/explorateur/niveau08.xml,,,,,
2 - collaborateur,[fr]niveau01[/fr][en]level01[/en],levels/tutoriel/nommerscript.xml,,,,,
2 - collaborateur,[fr]niveau02[/fr][en]level02[/en],levels/collaborateur/niveau01.xml,,,,,
2 - collaborateur,[fr]niveau03[/fr][en]level03[/en],levels/collaborateur/niveau02.xml,,,,,
2 - collaborateur,[fr]niveau04[/fr][en]level04[/en],levels/collaborateur/niveau03.xml,,,,,
2 - collaborateur,[fr]niveau05[/fr][en]level05[/en],levels/collaborateur/niveau04.xml,,,,,
2 - collaborateur,[fr]niveau06[/fr][en]level06[/en],levels/infiltration/niveau07.xml,,,,,
2 - collaborateur,[fr]niveau07[/fr][en]level07[/en],levels/infiltration/niveau10.xml,,,,,
2 - collaborateur,[fr]niveau08[/fr][en]level08[/en],levels/collaborateur/niveau05.xml,,,,,
2 - collaborateur,[fr]niveau09[/fr][en]level09[/en],levels/collaborateur/niveau06.xml,,,,,
2 - collaborateur,[fr]niveau10[/fr][en]level10[/en],levels/collaborateur/niveau07.xml,,,,,
2 - collaborateur,[fr]niveau11[/fr][en]level11[/en],levels/tutoriel/createscript.xml,,,,,
2 - collaborateur,[fr]niveau12[/fr][en]level12[/en],levels/collaborateur/niveau08.xml,,,,,
3 - repetiteur,[fr]niveau01[/fr][en]level01[/en],levels/repetiteur/niveau01.xml,,,,,
3 - repetiteur,[fr]niveau02[/fr][en]level02[/en],levels/repetiteur/niveau02.xml,,,,,
3 - repetiteur,[fr]niveau03[/fr][en]level03[/en],levels/repetiteur/niveau03.xml,,,,,
3 - repetiteur,[fr]niveau04[/fr][en]level04[/en],levels/blocklymaze/niveau04.xml,,,,,
3 - repetiteur,[fr]niveau05[/fr][en]level05[/en],levels/repetiteur/niveau04.xml,,,,,
3 - repetiteur,[fr]niveau06[/fr][en]level06[/en],levels/repetiteur/niveau05.xml,,,,,
3 - repetiteur,[fr]niveau07[/fr][en]level07[/en],levels/repetiteur/niveau06.xml,,,,,
3 - repetiteur,[fr]niveau08[/fr][en]level08[/en],levels/repetiteur/niveau07.xml,,,,,
3 - repetiteur,[fr]niveau09[/fr][en]level09[/en],levels/tutoriel/ouvrirporte.xml,,,,,
3 - repetiteur,[fr]niveau10[/fr][en]level10[/en],levels/repetiteur/niveau08.xml,,,,,
