actor,timestamp,verb,xml,scenario,level,success,score
A5A6EC6D,2023-09-21T14:05:55.9870000Z,launched,levels/repetiteur/niveau03.xml,3 - repetiteur,[fr]niveau03[/fr][en]level03[/en],,
A5A6EC6D,2023-09-21T14:07:59.5850000Z,exited,levels/repetiteur/niveau03.xml,,,,
A5A6EC6D,2023-09-21T14:08:15.5380000Z,launched,levels/blocklymaze/niveau04.xml,3 - repetiteur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-09-21T14:11:11.1880000Z,exited,levels/blocklymaze/niveau04.xml,,,,
A5A6EC6D,2023-09-21T14:11:15.0560000Z,launched,levels/repetiteur/niveau04.xml,3 - repetiteur,[fr]niveau05[/fr][en]level05[/en],,
A5A6EC6D,2023-09-21T14:11:58.2030000Z,exited,levels/repetiteur/niveau04.xml,,,,
A5A6EC6D,2023-09-21T14:12:13.6510000Z,launched,levels/repetiteur/niveau01.xml,3 - repetiteur,[fr]niveau01[/fr][en]level01[/en],,
A5A6EC6D,2023-09-21T14:12:17.3520000Z,exited,levels/repetiteur/niveau01.xml,,,,
A5A6EC6D,2023-09-21T14:12:27.3240000Z,launched,levels/repetiteur/niveau02.xml,3 - repetiteur,[fr]niveau02[/fr][en]level02[/en],,
A5A6EC6D,2023-09-21T14:12:36.6840000Z,exited,levels/repetiteur/niveau02.xml,,,,
A5A6EC6D,2023-09-21T14:12:42.9710000Z,launched,levels/repetiteur/niveau03.xml,3 - repetiteur,[fr]niveau03[/fr][en]level03[/en],,
A5A6EC6D,2023-09-21T14:12:52.5840000Z,exited,levels/repetiteur/niveau03.xml,,,,
A5A6EC6D,2023-09-21T14:12:54.8220000Z,launched,levels/blocklymaze/niveau04.xml,3 - repetiteur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-09-21T14:13:07.9490000Z,exited,levels/blocklymaze/niveau04.xml,,,,
A5A6EC6D,2023-09-21T14:13:09.7930000Z,launched,levels/repetiteur/niveau04.xml,3 - repetiteur,[fr]niveau05[/fr][en]level05[/en],,
A5A6EC6D,2023-09-21T14:13:34.5490000Z,exited,levels/repetiteur/niveau04.xml,,,,
A5A6EC6D,2023-09-21T14:13:36.4030000Z,launched,levels/blocklymaze/niveau04.xml,3 - repetiteur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-09-21T14:14:01.7790000Z,exited,levels/blocklymaze/niveau04.xml,,,,
A5A6EC6D,2023-09-21T14:14:03.5800000Z,launched,levels/repetiteur/niveau04.xml,3 - repetiteur,[fr]niveau05[/fr][en]level05[/en],,
A5A6EC6D,2023-09-21T14:14:10.2780000Z,exited,levels/repetiteur/niveau04.xml,,,,
A5A6EC6D,2023-09-21T14:14:11.7730000Z,launched,levels/blocklymaze/niveau04.xml,3 - repetiteur,[fr]niveau04[/fr][en]level04[/en],,
A5A6EC6D,2023-09-21T14:15:56.0910000Z,exited,levels/blocklymaze/niveau04.xml,,,,
A5A6EC6D,2023-09-21T14:15:59.4330000Z,launched,levels/repetiteur/niveau04.xml,3 - repetiteur,[fr]niveau05[/fr][en]level05[/en],,
A5A6EC6D,2023-09-21T14:18:30.3640000Z,exited,levels/repetiteur/niveau04.xml,,,,
A5A6EC6D,2023-09-21T14:18:34.9430000Z,launched,levels/repetiteur/niveau05.xml,3 - repetiteur,[fr]niveau06[/fr][en]level06[/en],,
A5A6EC6D,2023-09-21T14:20:11.5940000Z,exited,levels/repetiteur/niveau05.xml,,,,
A5A6EC6D,2023-09-21T14:20:16.9060000Z,launched,levels/repetiteur/niveau06.xml,3 - repetiteur,[fr]niveau07[/fr][en]level07[/en],,
A5A6EC6D,2023-09-21T14:22:58.2510000Z,exited,levels/repetiteur/niveau06.xml,,,,
A5A6EC6D,2023-09-21T14:23:02.4780000Z,launched,levels/repetiteur/niveau07.xml,3 - repetiteur,[fr]niveau08[/fr][en]level08[/en],,
A5A6EC6D,2023-09-21T14:26:01.6740000Z,exited,levels/repetiteur/niveau07.xml,,,,
A5A6EC6D,2023-09-21T14:26:06.4630000Z,launched,levels/tutoriel/ouvrirporte.xml,3 - repetiteur,[fr]niveau09[/fr][en]level09[/en],,
A5A6EC6D,2023-09-21T14:32:34.2860000Z,exited,levels/tutoriel/ouvrirporte.xml,,,,
A5A6EC6D,2023-09-21T14:32:38.7290000Z,launched,levels/repetiteur/niveau08.xml,3 - repetiteur,[fr]niveau10[/fr][en]level10[/en],,
A5A6EC6D,2023-09-23T09:44:23.3760000Z,launched,levels/explorateur/niveau01.xml,1 - explorateur,[fr]niveau01[/fr][en]level01[/en],,
A5A6EC6D,2023-09-23T09:46:27.8050000Z,exited,levels/explorateur/niveau01.xml,,,,
A5A6EC6D,2023-09-23T09:46:33.5360000Z,launched,levels/explorateur/niveau02.xml,1 - explorateur,[fr]niveau02[/fr][en]level02[/en],,
A5A6EC6D,2023-09-23T09:46:43.5290000Z,exited,levels/explorateur/niveau02.xml,,,,
A5A6EC6D,2023-09-23T09:46:59.6760000Z,launched,levels/explorateur/niveau03.xml,1 - explorateur,[fr]niveau03[/fr][en]level03[/en],,
A5A6EC6D,2023-09-23T09:48:13.8370000Z,exited,levels/explorateur/niveau03.xml,,,,
